,Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,state_fullname,has_condition,id
0,2014-08-27 11:29,37,Female,United States,IL,N/A,No,Yes,Often,25-Jun,No,Yes,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,,Illinois,1,13
1,2014-08-27 11:29,44,Male,United States,IN,N/A,No,No,Rarely,More than 1000,No,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,,Indiana,1,14
4,2014-08-27 11:30,31,Male,United States,TX,N/A,No,No,Never,100-500,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know,No,,Texas,1,43
5,2014-08-27 11:31,33,Male,United States,TN,N/A,Yes,No,Sometimes,25-Jun,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No,,Tennessee,1,42
6,2014-08-27 11:31,35,Female,United States,MI,N/A,Yes,Yes,Sometimes,05-Jan,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know,No,,Michigan,1,22
8,2014-08-27 11:32,42,Female,United States,IL,N/A,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,,Illinois,1,13
10,2014-08-27 11:32,31,Male,United States,OH,N/A,No,Yes,Sometimes,25-Jun,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,,Ohio,1,35
12,2014-08-27 11:33,42,Female,United States,CA,N/A,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes,,California,1,5
13,2014-08-27 11:33,36,Male,United States,CT,N/A,Yes,No,Never,500-1000,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No,I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.,Connecticut,1,7
15,2014-08-27 11:34,29,Female,United States,IL,N/A,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know,No,I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. ,Illinois,1,13
17,2014-08-27 11:34,32,Male,United States,TN,N/A,No,Yes,Sometimes,25-Jun,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,No,No,,Tennessee,1,42
18,2014-08-27 11:34,46,Male,United States,MD,Yes,Yes,No,Sometimes,05-Jan,Yes,Yes,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,,Maryland,1,20
20,2014-08-27 11:35,29,Male,United States,NY,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No,No,,New York,1,32
21,2014-08-27 11:35,31,Male,United States,NC,Yes,No,No,Never,05-Jan,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,No,,North Carolina,1,33
22,2014-08-27 11:35,46,Male,United States,MA,No,No,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No,,Massachusetts,1,21
23,2014-08-27 11:36,41,Male,United States,IA,No,No,Yes,Never,More than 1000,No,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Yes,Don't know,No,,Iowa,1,15
